card_name,play_to_keep_rate,keep_rate,kept_in_starting_hand,kept_and_played,kept_but_not_played,buy_to_draft_rate,buy_to_draft_1_rate,buy_to_draft_2_rate,buy_to_draft_3_rate,buy_to_draft_4_rate,draft_1_buys,draft_2_buys,draft_3_buys,draft_4_buys,business_contacts_keep_rate,business_network_buy_rate,invention_contest_keep_rate,inventors_guild_buy_rate,draft_1_rate,draft_3_rate,card_buy_through_card_rate
Pets,0.9283,0,237,220,17,0.4605,0.7344,0.602,0.4006,0.2659,282,366,371,184,0.4382,0.3852,0.1739,0.38,0.1259,0.3036,0.3829
Phobos Space Haven,0.8923,0,195,174,21,0.4762,0.6532,0.5707,0.3731,0.2403,388,359,244,99,0.4271,0.376,0.3452,0.4962,0.2055,0.2262,0.438
Physics Complex,0.699,0,103,72,31,0.3384,0.5892,0.4702,0.3012,0.1649,241,292,275,143,0.3368,0.2609,0.2381,0.2929,0.1334,0.2977,0.2757
Plantation,0.9017,0,580,523,57,0.864,0.9102,0.8955,0.8121,0.7403,902,977,605,248,0.6531,0.7969,0.481,0.8037,0.3331,0.2504,0.8
Power Grid,0.6842,0,19,13,6,0.0858,0.3953,0.2817,0.1057,0.0564,17,40,61,101,0.0761,0.0909,0.0256,0.0787,0.0145,0.1944,0.0849
Power Infrastructure,0.84,0,25,21,4,0.1573,0.5085,0.373,0.2327,0.0809,30,91,202,146,0.1651,0.2195,0.087,0.1681,0.0192,0.2825,0.1942
Power Plant,0.9558,0,679,649,30,0.5319,0.7963,0.6771,0.5048,0.3309,258,499,523,271,0.3654,0.3415,0.1923,0.3621,0.1098,0.3512,0.3515
Power Supply Consortium,0.7726,0,299,231,68,0.4314,0.7451,0.5874,0.3833,0.2977,190,363,399,281,0.3537,0.3704,0.1392,0.3684,0.0841,0.3433,0.3695
Predators,0.3993,0,268,107,161,0.5137,0.6571,0.5801,0.4844,0.3364,527,590,496,288,0.5234,0.5462,0.3286,0.5304,0.2662,0.3399,0.5385
Protected Habitats,0.9869,0,762,752,10,0.8613,0.9522,0.873,0.6272,0.5323,1493,639,249,99,0.701,0.7324,0.5,0.7724,0.5201,0.1317,0.7509
Protected Valley,0.968,0,657,636,21,0.7596,0.8619,0.7956,0.6373,0.5633,955,895,478,178,0.5673,0.5954,0.4211,0.5847,0.3737,0.253,0.5904
Psychrophiles,1.0,0,653,653,0,0.5527,0.9815,0.9636,0.7833,0.1638,371,476,365,199,0.3333,0.404,0.339,0.3564,0.1517,0.1871,0.38
Quantum Extractor,0.8763,0,695,609,86,0.7867,0.8676,0.8208,0.5962,0.5395,1180,751,282,116,0.7312,0.6885,0.5647,0.7736,0.4423,0.1538,0.7281
Rad-Chem Factory,0.9208,0,240,221,19,0.602,0.8035,0.7391,0.5577,0.4141,319,561,570,306,0.4556,0.6048,0.3452,0.5806,0.135,0.3476,0.5927
Rad-Suits,0.9189,0,37,34,3,0.2246,0.5914,0.4164,0.2784,0.1309,55,117,216,181,0.3689,0.1912,0.1594,0.1803,0.0315,0.2625,0.186
Regolith Eaters,0.8681,0,91,79,12,0.1254,0.5181,0.3027,0.1503,0.0573,43,79,127,84,0.134,0.1324,0.1075,0.0288,0.028,0.2851,0.0875
Release of Inert Gases,0.9596,0,99,95,4,0.2286,0.5956,0.4098,0.2209,0.1191,81,159,201,123,0.2449,0.1803,0.1447,0.1828,0.0446,0.2983,0.1814
Research,0.9192,0,767,705,62,0.921,0.9373,0.9235,0.8248,0.8289,1749,760,226,63,0.8598,0.9292,0.6923,0.8413,0.6239,0.0916,0.8828
Research Coordination,0.8828,0,529,467,62,0.6212,0.8571,0.6871,0.5743,0.4297,336,459,456,223,0.5059,0.4432,0.2273,0.4713,0.166,0.3363,0.4571
Research Outpost,0.9987,0,779,778,1,0.9596,0.979,0.9338,0.64,0.6667,2558,395,48,38,0.8981,0.8992,0.8939,0.8938,0.8587,0.0246,0.8966
