card_name,total_games_analyzed,total_games_with_card,draw,draw_ai_central,draw_business_contacts_keep,draw_business_network_buy,draw_convoy_from_europa,draw_development_center,draw_draft_buy,draw_invention_contest_keep,draw_inventors_guild_buy,draw_inventrix,draw_lagrange_observatory,draw_large_convoy,draw_mars_university,draw_martian_survey,draw_olympus_conference,draw_placement,draw_placement_23_Ascraeus,draw_placement_58,draw_placement_61,draw_placement_68,draw_placement_82,draw_point_luna,draw_prelude,draw_prelude_biolabs,draw_prelude_io_research_outpost,draw_prelude_research_network,draw_prelude_unmi_contractor,draw_research,draw_restricted_area,draw_reveal_plant_tag,draw_reveal_space_tag,draw_sf_memorial,draw_start,draw_technology_demonstration,business_contacts_draw,business_network_draw,draft_1,draft_2,draft_3,draft_4,draft_unknown,invention_contest_draw,inventors_guild_draw,research_draft_drafted,research_draft_not_drafted,reveal,reveal_microbe,reveal_plant,reveal_space,other,other_activate,other_activation_effect,other_add_animal,other_add_microbe,other_add_science,other_copy_production_box,other_immediate_effect,other_move_resource,other_opponent_play,other_place_card,other_place_city,other_place_gain,other_place_lava_and_ocean,other_remove_animal,other_remove_microbe,other_remove_science,other_scoring,other_starting_hand,other_takeback,other_takeback_buy,other_takeback_draft,other_takeback_start,other_takeback_undo,other_triggered_effect
Convoy From Europa,16707,6815,0,178,70,94,0,84,2486,37,74,7,21,32,144,14,74,0,24,23,15,20,89,48,0,13,3,15,4,41,149,0,75,18,696,48,125,129,1005,997,704,333,0,82,103,1707,1351,0,33,121,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,34,30,30,0,0
Corporate Stronghold,16707,6437,0,202,24,24,18,121,975,15,37,6,22,40,176,11,80,0,26,29,32,15,73,42,0,9,2,4,9,37,151,0,0,10,241,51,84,109,294,559,937,946,0,73,114,1229,1716,0,26,110,65,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,13,0,12,27,9,0,0
Cupola City,16707,6634,0,206,47,78,14,117,1958,31,58,9,25,36,167,14,68,0,24,26,25,17,84,48,0,7,1,15,6,37,132,0,0,11,619,49,103,131,956,766,560,502,0,80,102,1514,1468,0,23,128,59,0,0,0,0,0,0,11,5,0,1,0,0,0,0,0,0,0,0,7,0,23,20,22,0,0
Decomposers,16707,7353,0,177,77,105,24,109,3578,46,105,11,21,35,157,21,61,0,16,22,17,22,78,55,0,7,0,10,5,35,166,0,0,14,692,40,100,121,1011,1413,1030,483,0,92,116,2036,975,0,19,138,67,0,0,0,0,35087,0,0,0,34,0,0,0,0,0,0,843,0,3091,8,0,46,35,27,0,33262
Deep Well Heating,16707,6602,0,198,45,39,24,101,1434,19,31,12,18,58,151,23,72,0,28,21,20,32,83,52,0,8,4,9,10,34,139,0,0,11,443,45,107,132,372,714,1012,644,0,70,109,1384,1657,0,20,123,47,0,0,0,0,0,0,8,3,0,2,0,0,0,0,0,0,0,0,8,0,12,23,10,0,0
Deimos Down,16707,6532,0,187,78,108,22,110,3207,74,115,8,21,47,152,21,71,0,32,27,12,31,101,39,0,7,7,12,9,36,139,0,62,14,753,48,100,135,2337,852,176,133,0,100,135,2510,432,0,33,133,0,0,0,0,0,0,0,0,3830,0,2,0,0,0,0,0,0,0,0,8,0,25,27,23,0,0
Designed Microorganisms,16707,7046,0,191,23,32,18,106,1191,21,30,18,20,39,173,14,72,0,23,19,25,13,91,47,0,9,2,24,11,46,152,0,0,13,683,56,91,131,535,532,532,1036,0,89,123,1066,1902,0,34,123,55,0,0,0,0,0,0,0,341,0,1,0,0,0,0,0,0,0,0,9,0,15,25,23,0,0
Development Center,16707,6656,0,195,73,97,28,0,2582,52,81,11,17,39,153,14,76,0,31,21,27,20,87,46,0,14,0,16,8,48,135,0,0,11,747,69,101,140,1565,1005,446,207,0,96,117,2007,971,0,25,113,62,0,23521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,29,31,28,0,0
Domed Crater,16707,6724,0,214,51,50,24,116,1619,44,58,9,21,30,151,11,64,0,39,29,20,29,85,46,0,9,1,14,13,32,125,0,0,10,606,42,105,123,841,670,501,707,0,102,140,1341,1575,0,33,125,61,0,0,0,0,0,0,5,1770,0,1,0,0,0,0,0,0,0,0,6,0,17,27,24,0,0
Dust Seals,16707,7294,0,196,15,8,26,107,351,4,6,5,22,31,169,20,72,0,30,27,24,14,82,51,0,7,2,11,6,39,153,0,0,9,59,55,122,125,15,71,417,2345,0,94,137,432,2531,0,28,133,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,2,0,0
Earth Catapult,16707,6144,0,187,83,101,16,90,2870,60,80,13,18,38,168,14,71,0,30,26,24,26,92,52,0,6,2,14,3,41,123,0,0,10,790,56,96,121,2580,497,99,64,0,76,98,2674,404,0,23,119,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,16,35,0,0
Earth Office,16707,7119,0,209,74,102,21,116,2748,44,110,14,21,39,180,17,79,0,18,21,26,20,94,38,0,11,1,13,5,39,155,0,0,16,833,34,103,117,863,1081,813,426,0,72,131,1674,1293,0,26,111,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,29,30,0,0
Ecological Zone,16707,6954,0,185,81,109,24,99,3672,65,111,8,18,47,167,17,84,0,26,27,19,20,87,42,0,11,3,19,7,42,142,131,0,19,754,66,97,121,2077,1197,364,149,0,83,121,2435,603,0,32,0,52,0,0,0,32327,0,0,0,0,55,0,5816,0,53,0,750,0,0,3489,5,0,35,40,31,0,26725
Electro Catapult,16707,6769,0,210,49,52,16,118,1656,40,67,11,26,35,184,19,68,0,29,23,25,24,89,48,0,6,5,13,5,52,133,0,0,17,714,40,92,112,1065,631,431,631,0,93,132,1496,1462,0,27,132,53,0,20810,6461,0,0,0,0,166,0,1,0,0,0,0,0,0,0,0,2,0,18,24,29,0,0
Energy Saving,16707,6718,0,185,17,11,25,111,204,4,8,10,20,38,164,25,82,0,28,24,21,23,87,46,0,14,3,10,3,54,147,0,0,7,7,54,98,121,46,180,595,1745,0,68,107,641,2345,0,35,135,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,9,0,0,0
Energy Tapping,16707,7249,0,189,37,47,20,117,1563,12,50,9,24,40,158,20,67,0,28,22,27,27,80,49,0,8,4,13,7,41,152,0,0,16,703,59,86,121,395,806,1070,1007,0,74,127,1464,1506,0,23,98,59,0,0,0,0,0,0,0,988,0,2,0,0,0,0,0,0,0,0,8,0,12,31,21,0,0
Eos Chasma National Park,16707,6535,0,181,52,82,23,124,2239,26,66,12,25,38,149,16,81,0,37,36,16,18,92,46,0,15,1,9,13,42,157,135,0,9,204,50,95,124,575,781,1108,724,0,83,109,1681,1329,0,19,0,63,0,0,0,0,0,0,3,1469,0,0,0,0,0,0,0,0,0,0,8,0,19,24,5,0,0
Equatorial Magnetizer,16707,6950,0,204,17,14,25,122,365,5,14,8,24,36,148,10,67,0,30,28,27,18,76,35,0,10,0,12,1,52,139,0,0,15,6,46,99,137,65,227,774,1897,0,72,99,838,2248,0,32,118,50,0,1561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,17,0,0,0
Extreme-Cold Fungus,16707,6744,0,188,16,13,19,111,478,1,12,16,27,51,163,18,77,0,22,34,22,18,77,39,0,6,6,9,4,41,142,0,0,8,129,69,102,136,157,349,766,1475,0,70,112,923,2097,0,21,106,61,0,4163,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,14,4,0,0
Farming,16707,6626,0,209,56,94,30,99,2392,29,83,4,23,36,148,13,88,0,32,18,17,23,95,42,0,7,3,14,7,48,129,114,0,8,333,50,95,137,650,817,1006,779,0,84,117,1654,1266,0,24,0,61,0,0,0,0,0,0,0,1079,0,1,0,0,0,0,0,0,0,0,9,1,18,18,13,0,0
Fish,16707,6815,0,189,70,93,26,113,2939,36,107,15,22,38,138,9,67,0,22,19,20,17,94,44,0,11,3,12,11,32,158,0,0,11,487,46,105,119,825,984,995,618,0,74,136,1815,1157,0,20,123,62,0,6934,0,3719,0,0,0,1283,216,1,0,0,0,0,381,0,0,2676,7,0,35,35,14,0,0
Flooding,16707,7326,0,185,52,69,19,121,2454,23,68,10,21,52,138,11,68,0,32,21,34,28,81,50,0,7,2,14,8,41,143,0,0,14,728,55,110,120,617,1009,1029,844,0,78,113,1642,1314,0,24,134,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,28,32,33,0,0
Food Factory,16707,6394,0,204,18,14,21,128,371,4,10,5,20,41,157,20,65,0,31,34,17,18,77,43,0,5,3,16,3,39,136,0,0,19,34,53,106,131,83,245,734,1402,0,55,96,816,2146,0,26,121,61,0,0,0,0,0,0,4,53,0,0,0,0,0,0,0,0,0,0,8,0,2,14,2,0,0
Fueled Generators,16707,7259,0,201,29,45,26,114,1341,14,25,11,19,31,152,9,65,0,31,20,25,29,98,43,0,14,2,13,5,36,149,0,0,12,583,48,101,144,217,608,1216,1213,0,84,117,1430,1610,0,26,135,59,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,6,0,11,35,24,0,0
Fuel Factory,16707,6767,0,209,36,47,24,112,1236,23,48,9,18,46,165,19,68,0,34,35,28,19,79,47,0,6,5,15,7,43,141,0,0,19,737,51,86,120,397,571,773,662,0,75,113,1169,1845,0,21,125,44,0,0,0,0,0,0,28,20,0,4,0,0,0,0,0,0,0,0,9,0,14,26,20,0,0
