card_name,total_games_analyzed,total_games_with_card,draw,draw_ai_central,draw_business_contacts_keep,draw_business_network_buy,draw_convoy_from_europa,draw_development_center,draw_draft_buy,draw_invention_contest_keep,draw_inventors_guild_buy,draw_inventrix,draw_lagrange_observatory,draw_large_convoy,draw_mars_university,draw_martian_survey,draw_olympus_conference,draw_placement,draw_placement_23_Ascraeus,draw_placement_58,draw_placement_61,draw_placement_68,draw_placement_82,draw_point_luna,draw_prelude,draw_prelude_biolabs,draw_prelude_io_research_outpost,draw_prelude_research_network,draw_prelude_unmi_contractor,draw_research,draw_restricted_area,draw_reveal_plant_tag,draw_reveal_space_tag,draw_sf_memorial,draw_start,draw_technology_demonstration,business_contacts_draw,business_network_draw,draft_1,draft_2,draft_3,draft_4,draft_unknown,invention_contest_draw,inventors_guild_draw,research_draft_drafted,research_draft_not_drafted,reveal,reveal_microbe,reveal_plant,reveal_space,other,other_activate,other_activation_effect,other_add_animal,other_add_microbe,other_add_science,other_copy_production_box,other_immediate_effect,other_move_resource,other_opponent_play,other_place_card,other_place_city,other_place_gain,other_place_lava_and_ocean,other_remove_animal,other_remove_microbe,other_remove_science,other_scoring,other_starting_hand,other_takeback,other_takeback_buy,other_takeback_draft,other_takeback_start,other_takeback_undo,other_triggered_effect
Ore Processor,16707,6926,0,211,15,8,26,103,438,5,15,9,22,42,145,14,66,0,33,27,27,31,91,45,0,7,3,14,6,41,127,0,0,14,119,54,110,127,139,305,860,1668,0,93,118,999,2027,0,20,123,63,0,2581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,18,5,0,0
Permafrost extraction,16707,6994,0,199,37,41,23,110,1900,25,56,7,22,37,175,17,57,0,29,26,22,24,83,41,0,10,3,14,6,37,142,0,0,10,161,51,114,111,385,663,1051,1422,0,95,128,1436,1513,0,30,131,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,26,12,0,0
Peroxide Power,16707,7013,0,217,22,40,34,123,1214,16,28,9,18,38,163,13,67,0,22,31,22,21,74,47,0,10,5,17,2,48,149,0,0,8,568,52,94,125,242,640,1100,1052,0,80,111,1341,1632,0,20,112,49,0,0,0,0,0,0,13,9,0,1,0,0,0,0,0,0,0,0,12,0,9,34,29,0,0
Pets,16707,6387,0,197,39,47,21,114,1202,12,38,13,21,35,156,27,83,0,27,33,24,28,73,40,0,8,3,8,8,44,163,0,0,15,237,57,89,122,384,608,926,692,0,69,100,1309,1741,0,29,142,53,0,0,0,11829,0,0,0,0,27,0,0,0,0,0,0,0,0,2059,9,1,11,24,9,0,10677
Phobos Space Haven,16707,5941,0,218,41,47,18,96,1090,29,66,7,26,46,166,17,65,0,29,12,19,18,85,56,0,6,2,10,10,52,146,0,64,11,195,45,96,125,594,629,654,412,0,84,133,1243,1648,0,17,136,0,0,0,0,0,0,0,0,231,0,0,0,1836,0,0,0,0,0,2098,7,0,11,28,8,0,0
Physics Complex,16707,6396,0,192,32,30,17,109,951,20,29,12,19,27,163,24,67,0,22,17,21,24,97,46,0,16,5,12,7,45,149,0,0,11,103,48,95,115,409,621,913,867,0,84,99,1318,1749,0,23,112,62,0,2975,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,1061,4,0,9,30,1,0,0
Plantation,16707,6860,1,224,64,102,22,109,2732,38,86,10,12,34,184,22,75,0,30,19,33,29,93,49,0,14,1,16,7,50,143,143,0,12,580,45,98,128,991,1091,745,335,0,79,107,1733,1242,0,26,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,30,40,13,1,0
Power Grid,16707,6722,0,201,7,12,20,110,219,2,10,11,13,44,167,11,75,0,20,42,25,24,93,56,0,10,1,12,9,42,140,0,0,6,19,51,92,132,43,142,577,1790,0,78,127,620,2348,0,22,110,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,7,1,0,0
Power Infrastructure,16707,6914,0,203,18,27,15,108,468,8,20,11,21,32,163,20,65,0,28,21,25,17,91,39,0,6,0,13,9,45,130,0,0,13,25,44,109,123,59,244,868,1804,0,92,119,927,2146,0,29,118,62,0,2015,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,16,0,0,0
Power Plant,16707,7009,0,217,38,42,22,116,1551,15,42,7,17,28,166,14,73,0,31,17,23,17,88,63,0,11,3,17,11,48,157,0,0,10,679,43,104,123,324,737,1036,819,0,78,116,1359,1591,0,21,123,61,0,0,0,0,0,0,8,11,0,2,0,0,0,0,0,0,0,0,9,0,18,29,21,0,0
Power Supply Consortium,16707,6640,0,187,29,50,20,120,1233,11,42,12,25,34,169,15,64,0,36,16,26,20,82,58,0,8,1,13,3,42,134,0,0,12,299,61,82,135,255,618,1041,944,0,79,114,1295,1737,0,24,105,51,0,0,0,0,0,0,0,971,0,0,0,0,0,0,0,0,0,0,4,0,12,24,11,0,0
Predators,16707,6936,1,201,56,65,19,107,1900,23,61,5,28,46,156,16,70,0,23,32,23,24,56,53,0,7,2,20,8,39,153,0,0,13,268,41,107,119,802,1017,1024,856,0,70,115,1824,1189,0,24,139,68,0,2766,0,4326,0,0,0,0,103,0,0,0,0,0,90,0,0,1134,4,0,22,32,7,0,0
Protected Habitats,16707,6567,0,217,68,104,22,117,2483,41,95,5,24,33,181,22,62,0,39,25,28,20,96,46,0,11,5,15,8,49,152,0,0,18,762,49,97,142,1568,732,397,186,2,82,123,1963,1052,0,16,112,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,30,28,24,0,0
Protected Valley,16707,6877,0,192,59,78,21,103,2506,32,69,8,18,46,159,11,77,0,33,27,21,26,82,44,0,12,7,14,12,40,151,123,0,11,657,54,104,131,1108,1125,750,316,0,76,118,1854,1111,0,28,0,67,0,0,0,0,0,0,13,893,0,1,0,0,0,0,0,0,0,0,9,0,29,29,25,0,0
Psychrophiles,16707,6300,0,147,26,40,18,100,1411,20,36,7,11,34,144,14,40,0,19,27,23,20,69,48,0,4,3,12,10,34,101,0,0,9,653,46,78,99,378,494,466,1215,0,59,101,844,1647,0,19,102,51,0,19750,0,0,2352,0,0,0,8,1,0,0,0,0,0,9358,0,0,0,0,17,18,40,0,0
Quantum Extractor,16707,6666,0,207,68,84,12,110,2331,48,82,9,27,34,167,17,72,0,23,30,19,28,87,43,0,8,5,19,9,45,130,0,0,8,695,44,93,122,1360,915,473,215,0,85,106,1832,1243,0,21,128,56,0,0,0,0,0,0,0,899,0,2,0,0,0,0,0,0,0,0,10,0,33,37,28,0,0
Rad-Chem Factory,16707,6465,0,220,41,75,29,105,1756,29,72,13,22,37,152,20,80,0,24,26,22,18,82,62,0,6,4,15,6,47,120,0,0,6,240,43,90,124,397,759,1022,739,0,84,124,1417,1523,0,34,108,65,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,6,0,17,33,10,0,0
Rad-Suits,16707,6452,0,197,38,26,21,108,569,11,22,13,19,29,149,17,84,0,22,22,36,22,91,51,0,12,2,21,6,46,136,0,0,16,37,56,103,136,93,281,776,1383,0,69,122,869,2087,0,29,116,46,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,5,0,10,20,0,0,0
Regolith Eaters,16707,6563,0,196,13,18,14,102,333,10,3,9,15,47,154,16,69,0,31,25,19,24,76,50,0,11,2,15,9,35,157,0,0,16,91,49,97,136,83,261,845,1467,0,93,104,928,2036,0,25,128,58,0,2891,0,0,686,0,0,0,2,1,0,0,0,0,0,1319,0,0,1,0,4,23,9,0,0
Release of Inert Gases,16707,6280,0,181,24,22,25,100,564,11,17,6,23,37,165,21,67,0,21,26,20,16,91,41,0,14,3,19,5,43,154,0,0,13,99,36,98,122,136,388,910,1033,0,76,93,1044,2007,0,30,110,57,0,0,0,0,0,0,0,275,0,1,0,0,0,0,0,0,0,0,2,0,2,21,4,0,0
Research,16707,6418,0,207,92,105,22,114,2799,63,106,9,27,28,145,18,61,0,32,28,19,18,103,59,0,8,2,12,8,0,143,0,0,9,767,57,107,113,1866,823,274,76,0,91,126,2139,852,0,29,112,53,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,32,32,23,0,0
Research Coordination,16707,5593,0,190,43,39,18,77,1474,15,41,10,17,18,140,15,45,0,31,20,19,22,65,58,0,10,3,20,4,36,125,0,0,11,529,41,85,88,392,668,794,519,0,66,87,1185,1176,0,17,119,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,26,18,0,0
Research Outpost,16707,6019,0,181,97,107,16,119,3040,59,101,20,30,29,140,10,59,0,30,22,19,9,84,56,0,4,0,12,14,45,140,0,0,10,779,53,108,119,2613,423,75,57,0,66,113,2687,356,0,28,116,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,24,25,41,0,0
Restricted Area,16707,6405,0,185,88,92,19,115,3177,55,108,6,18,36,151,19,59,0,30,25,26,24,85,59,0,6,5,15,10,46,0,0,0,12,788,36,96,106,2234,892,202,81,0,76,128,2435,598,0,22,139,55,0,29741,0,0,0,0,0,0,0,1,5064,0,745,0,0,0,0,0,7,0,47,28,19,0,0
Robotic Workforce,16707,6679,0,221,55,68,23,108,2079,24,76,15,28,44,158,12,95,0,18,29,30,19,75,39,0,16,5,14,8,32,131,0,0,24,727,53,86,117,995,969,597,287,0,66,122,1591,1317,0,20,128,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,24,25,33,1,0
Rover Construction,16707,6328,0,197,43,59,17,122,1471,19,60,11,14,33,161,13,73,0,17,31,25,16,77,63,0,6,1,15,8,44,151,0,0,11,320,62,96,115,419,686,868,512,0,85,105,1286,1739,0,30,124,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,33,9,0,20086
Sabotage,16707,6875,0,196,65,98,14,116,2982,55,97,13,25,46,171,18,66,0,35,24,22,20,69,51,0,8,3,15,10,38,139,0,0,9,783,51,90,106,1047,1172,708,242,1,89,110,1754,1155,0,27,133,55,0,0,0,0,0,0,0,2072,0,1,0,0,0,0,0,0,0,0,11,0,32,32,19,0,0
Satellites,16707,6355,1,203,42,51,27,115,1170,19,51,13,23,38,185,13,63,0,29,24,27,20,88,51,0,5,4,14,6,43,136,0,63,10,239,65,91,117,442,643,819,802,0,73,112,1259,1600,0,25,130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,11,21,11,0,0
Search For Life,16707,7121,0,207,26,41,21,117,1550,13,35,7,26,34,176,11,64,0,34,24,24,23,84,49,0,7,4,21,8,42,123,0,0,16,531,56,93,111,338,698,930,1200,0,82,99,1266,1683,0,0,124,58,0,5348,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1661,7,0,20,30,20,0,0
Security Fleet,16707,6641,0,208,7,8,21,117,132,3,6,6,28,39,159,17,77,0,37,30,28,21,81,52,0,11,3,14,7,43,152,0,56,10,3,49,99,134,31,160,492,1727,0,76,120,523,2376,0,24,139,0,0,682,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,617,10,0,1,13,0,0,0
SF Memorial,16707,5265,0,163,45,64,24,90,1432,15,47,2,13,30,124,17,68,0,15,19,23,20,69,40,0,8,3,14,6,46,108,0,0,0,258,45,72,113,292,664,841,467,0,59,85,1133,1263,0,19,122,63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,24,16,0,0
Shuttles,16707,6489,0,225,49,89,26,115,1979,35,89,8,8,36,133,14,76,0,33,48,26,26,81,44,0,7,4,9,7,38,141,0,55,9,252,59,92,119,492,829,1048,645,0,100,117,1539,1432,0,26,111,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,7,0,22,18,5,0,0
Small Animals,16707,7045,0,179,51,96,21,113,2908,29,86,11,21,26,160,12,76,0,35,30,18,32,76,46,0,9,1,19,8,41,141,0,0,14,562,34,87,124,745,1151,1144,613,0,69,118,1888,1112,0,22,121,55,0,12962,0,1620,0,0,0,1236,43,0,0,0,0,0,519,0,0,2474,14,0,32,26,17,0,0
Soil Factory,16707,6578,0,199,20,16,25,122,363,7,20,13,29,44,158,16,65,0,34,27,20,15,73,55,0,12,5,14,5,39,157,0,0,7,7,46,111,124,73,251,778,1515,0,90,110,851,2114,0,35,140,56,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,6,0,7,16,1,0,0
Solar Power,16707,6350,0,184,26,25,17,108,618,9,30,13,23,35,145,17,85,0,34,25,34,17,91,54,0,7,3,12,7,49,154,0,0,15,181,54,101,116,114,357,937,1025,0,75,134,1051,1946,0,24,101,55,0,0,0,0,0,0,3,91,0,1,0,0,0,0,0,0,0,0,4,0,6,17,7,0,0
Solar Wind Power,16707,6852,0,197,76,95,25,119,2508,42,88,9,20,35,140,14,91,0,35,25,25,21,95,50,0,11,5,21,8,48,159,0,49,15,739,48,98,131,985,1080,667,235,0,86,116,1652,1316,0,20,113,0,0,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,0,0,10,0,21,34,22,0,0
Soletta,16707,7024,0,210,8,8,24,97,378,7,7,12,27,36,151,14,76,0,31,30,32,30,77,51,0,8,5,7,3,33,152,0,70,9,511,44,80,114,177,325,595,1432,0,86,111,772,2209,0,25,131,0,0,0,0,0,0,0,0,62,0,2,0,0,0,0,0,0,0,0,10,0,7,26,19,0,0
Space Elevator,16707,6428,0,195,66,70,16,124,1777,46,57,14,10,47,171,9,56,0,32,21,21,28,81,45,0,11,2,14,2,49,107,0,59,10,654,50,106,139,1358,798,431,214,0,90,113,1787,1209,0,26,120,0,0,19867,0,0,0,0,43,342,0,0,0,0,0,0,0,0,0,0,7,0,13,39,22,0,0
Space Hotels,16707,5320,0,159,47,61,15,84,1253,18,56,6,16,26,116,14,56,0,26,24,17,15,65,44,0,13,2,16,10,38,101,0,56,11,519,46,80,101,606,595,541,330,0,68,97,1147,1271,0,24,113,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,13,36,27,0,0
Space Mirrors,16707,6965,0,206,7,9,22,101,178,4,2,16,23,37,145,14,68,0,31,27,22,15,83,48,0,9,4,13,11,57,140,0,75,13,60,50,115,151,16,81,538,2029,0,63,116,553,2432,0,27,113,0,0,435,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,14,0,0,0
Space Station,16707,6446,0,197,47,74,18,101,1840,29,85,14,22,44,135,17,81,0,19,18,23,29,85,55,0,10,7,11,6,36,144,0,70,13,435,35,79,110,558,835,851,436,0,80,114,1408,1601,0,25,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,17,28,14,0,0
Special Design,16707,6869,0,192,40,35,13,113,1164,14,25,10,12,40,153,14,70,0,31,20,31,19,95,45,0,7,5,13,8,34,151,0,0,3,105,37,100,124,170,505,1235,1531,0,73,109,1405,1606,0,30,113,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,23,4,0,0
Sponsors,16707,6882,0,221,51,47,19,112,1338,19,39,4,24,27,166,17,92,0,26,20,25,20,75,48,0,8,1,12,7,45,125,0,0,10,785,47,120,106,413,540,820,755,0,81,113,1233,1799,0,25,107,66,0,0,0,0,0,0,0,230,0,1,0,0,0,0,0,0,0,0,4,0,11,20,37,0,0
Standard Technology,16707,7015,0,205,63,76,28,110,2685,32,55,10,18,38,157,16,75,0,31,25,29,25,85,45,0,6,1,13,4,40,140,0,0,14,699,58,108,107,1136,1123,758,317,0,77,102,1889,1199,0,26,129,69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,29,34,30,0,20555
Steelworks,16707,6858,0,198,13,15,11,98,466,8,8,5,22,35,167,15,70,0,31,20,24,22,77,52,0,6,3,13,7,52,144,0,0,13,179,35,102,133,160,343,801,1590,0,94,140,961,2007,0,38,108,47,0,3161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,21,17,0,0
Strip Mine,16707,6408,0,208,41,45,24,121,1389,11,42,9,26,37,145,14,63,0,18,22,20,20,65,65,0,6,4,12,6,39,164,0,0,17,575,50,96,131,1022,670,511,393,0,62,108,1530,1503,0,22,107,57,0,0,0,0,0,0,67,159,0,0,0,0,0,0,0,0,0,0,5,0,14,37,14,0,0
Subterranean Reservoir,16707,6916,0,213,47,50,20,110,1863,20,57,11,21,33,157,17,81,0,30,25,28,20,95,54,0,7,2,15,4,47,130,0,0,8,606,56,104,111,444,787,988,754,0,75,120,1429,1539,0,26,126,58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,18,38,19,0,0
Symbiotic Fungus,16707,6861,0,180,20,32,23,122,778,7,35,8,22,42,170,15,72,0,26,29,30,16,66,53,0,11,2,13,3,54,133,0,0,11,51,56,85,127,101,380,1031,1619,0,87,128,1132,1876,0,29,145,46,0,3731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,20,1,0,0
Tardigrades,16707,7060,0,204,16,20,13,104,463,6,12,13,21,40,168,18,77,0,28,25,31,18,84,39,0,7,3,11,9,41,135,0,0,19,129,47,94,126,35,166,833,1971,0,66,104,868,2189,0,25,110,59,0,5906,0,0,644,0,0,0,3,0,0,0,0,0,0,469,0,760,9,0,1,17,3,0,0
Technology Demonstration,16707,6808,0,185,98,118,23,124,3135,39,91,13,23,44,156,14,63,0,29,19,32,19,80,52,0,8,3,13,7,31,153,0,44,5,742,0,114,125,1371,1157,559,212,0,68,98,1928,1083,0,20,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,35,23,0,0
Tectonic Stress Power,16707,6441,0,219,26,21,17,104,751,6,16,13,21,43,169,16,75,0,34,23,19,21,69,36,0,9,2,18,8,37,130,0,0,14,185,62,87,127,197,514,1012,896,0,66,109,1207,1854,0,24,139,76,0,0,0,0,0,0,36,94,0,0,0,0,0,0,0,0,0,0,12,0,5,19,10,0,0
Terraforming Ganymede,16707,6079,0,184,54,60,17,106,1379,28,54,12,24,44,152,12,63,0,23,29,24,20,97,53,0,11,2,22,8,39,156,0,73,12,422,59,106,132,1577,632,356,243,0,78,107,1930,1034,0,25,127,0,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,0,0,8,0,10,24,21,0,0
Titanium Mine,16707,6755,0,206,46,48,18,91,1476,26,62,9,22,27,174,12,72,0,36,25,21,25,102,51,0,6,1,12,7,50,144,0,0,13,789,55,93,115,594,600,653,574,0,81,138,1246,1752,0,20,113,53,1,0,0,0,0,0,59,59,0,0,0,0,0,0,0,0,0,0,7,0,13,28,32,0,0
Toll Station,16707,6260,0,182,24,28,23,104,521,13,33,13,18,28,160,17,76,0,28,39,20,29,97,52,0,7,2,15,11,46,118,0,49,10,28,41,95,136,184,358,657,1168,0,80,118,840,2105,0,31,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,20,1,0,0
Towing a Comet,16707,6974,0,193,75,80,24,111,2856,47,100,13,23,39,162,9,82,0,33,32,24,23,89,38,0,11,2,17,4,51,126,0,48,16,766,59,108,125,1420,1127,533,298,0,94,139,1951,992,0,26,118,0,0,0,0,0,0,0,0,1160,0,2,0,0,0,0,0,0,0,0,6,0,28,35,29,0,0
Trans-Neptune Probe,16707,6839,0,194,71,103,26,119,2631,27,87,11,18,47,140,24,59,1,26,26,23,22,101,48,0,12,1,13,8,42,158,0,58,11,575,45,101,129,796,1043,939,389,0,68,109,1734,1325,0,25,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,24,33,22,0,0
Trees,16707,6957,0,211,67,103,18,110,3060,36,102,15,15,35,162,16,69,0,27,23,16,30,75,62,0,12,5,13,8,52,126,134,0,11,571,59,95,133,1033,1019,894,504,1,77,121,1924,1108,0,26,0,74,0,0,0,0,0,0,0,1391,0,2,0,0,0,0,0,0,0,0,6,0,31,30,11,0,0
Tropical Resort,16707,6455,0,166,11,29,18,116,574,5,24,14,26,29,162,30,91,0,28,20,32,19,84,50,0,10,2,8,9,43,147,0,0,7,14,45,79,145,116,316,828,1416,0,81,112,943,2010,0,18,114,58,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,0,0,0,10,0,4,14,0,0,0
Tundra Farming,16707,6260,0,159,48,55,28,110,1265,19,42,8,19,38,160,13,73,0,30,29,23,17,99,63,0,13,4,14,10,52,124,126,0,8,97,53,105,113,310,541,892,895,0,76,115,1201,1745,0,27,0,72,0,0,0,0,0,0,0,631,0,0,0,0,0,0,0,0,0,0,4,0,11,24,5,0,0
Underground City,16707,6134,0,215,36,47,21,107,1104,26,42,12,22,37,160,14,87,0,25,23,27,17,86,50,0,9,5,20,5,36,136,0,0,14,202,46,89,123,467,581,786,558,0,91,120,1252,1753,0,25,114,53,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,7,0,16,29,3,0,0
Underground Detonations,16707,7252,0,217,2,3,23,127,78,0,3,9,15,42,136,20,71,0,34,31,25,28,94,49,1,10,4,12,10,46,124,0,0,9,7,50,110,129,2,19,169,2448,1,71,114,171,2799,0,25,119,55,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,7,0,0,0
Urbanized Area,16707,6161,0,180,44,63,18,125,1211,18,62,15,15,39,155,13,66,0,37,20,18,16,63,49,0,9,3,15,8,38,153,0,0,16,96,42,103,113,465,559,817,733,0,73,109,1281,1778,0,17,127,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,18,4,0,0
Vesta Shipyard,16707,6412,0,216,58,59,17,113,1383,31,66,9,21,36,162,13,65,0,35,17,21,19,89,55,0,8,1,14,9,41,127,0,60,13,589,49,112,110,882,730,536,277,0,88,119,1417,1636,0,23,101,0,0,0,0,0,0,0,0,401,0,4,0,0,0,0,0,0,0,0,4,0,21,36,23,0,0
Viral Enhancers,16707,6763,0,184,104,117,18,119,3464,50,118,14,25,39,171,13,75,0,20,24,21,28,77,56,0,8,2,11,7,34,160,0,0,10,783,39,112,131,2195,1044,268,112,0,61,125,2462,582,0,28,116,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,29,27,25,0,51890
Virus,16707,7055,1,199,74,100,26,127,3099,53,106,7,25,38,169,17,67,1,26,28,27,12,86,35,0,9,4,13,5,37,145,0,0,15,738,50,109,122,1423,1220,678,314,0,89,121,2098,854,0,25,135,58,0,0,0,0,0,0,0,1283,0,1,0,0,0,0,0,0,0,0,9,0,36,32,24,0,0
Water Import From Europa,16707,6253,0,193,45,56,21,109,1258,21,57,9,21,46,164,18,75,0,40,29,23,21,89,43,0,8,6,13,6,48,161,0,79,17,326,56,102,119,1199,714,486,376,0,81,136,1682,1273,0,19,131,0,0,1213,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1669,9,0,13,22,12,0,0
Water Splitting Plant,16707,6889,0,182,5,7,23,120,272,1,3,11,27,37,125,16,70,0,35,21,22,19,88,45,0,7,1,11,6,46,143,0,0,16,53,41,106,115,75,216,731,1857,0,76,127,805,2213,0,25,118,71,0,1063,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,4,10,2,0,0
Wave Power,16707,6352,0,182,31,24,18,125,741,11,21,9,25,39,140,15,65,0,23,20,21,19,92,55,0,7,3,15,11,32,154,0,0,6,75,41,94,136,127,436,1022,1152,0,84,102,1147,1786,0,27,139,61,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,6,0,12,23,4,0,0
Windmills,16707,6725,0,228,33,49,24,97,1420,12,42,10,24,36,159,15,72,0,35,26,25,17,103,32,0,11,3,12,7,39,136,0,0,14,49,51,99,138,203,589,1123,1336,0,62,103,1324,1668,0,24,112,47,0,0,0,0,0,0,3,163,0,0,0,0,0,0,0,0,0,0,3,0,11,20,3,0,0
Worms,16707,6744,0,201,17,25,18,107,573,15,22,8,15,34,163,11,78,0,25,28,26,17,87,45,0,9,1,18,7,41,128,0,0,11,24,76,97,127,100,321,832,1642,0,73,102,932,2093,0,20,112,48,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,5,0,5,19,1,0,0
Zeppelins,16707,6385,0,199,26,28,26,112,418,10,33,14,23,36,155,22,70,0,32,33,25,20,87,40,0,15,1,11,3,41,138,0,0,9,15,43,105,109,128,258,732,1297,0,87,133,860,2157,0,21,133,58,0,0,0,0,0,0,0,61,0,1,0,0,0,0,0,0,0,0,8,0,3,20,2,0,0
