card_name,total_games_analyzed,total_games_with_card,games_with_prelude,seen_count,drawn_count,played_count,win_rate_overall,elo_gain_overall,win_rate_when_seen,elo_gain_when_seen,win_rate_when_drawn,elo_gain_when_drawn,win_rate_when_bought_during_game,elo_gain_when_bought_during_game,win_rate_when_played,elo_gain_when_played,win_count_overall,win_count_when_seen,win_count_when_drawn,win_count_when_bought_during_game,win_count_when_played,avg_elo_overall,avg_elo_when_seen,avg_elo_when_drawn,avg_elo_when_bought_during_game,avg_elo_when_played,play_to_buy_during_game_rate,play_to_buy_overall_rate,play_to_draw_for_free_rate,play_per_option_rate,play_per_card_in_hand_rate,plays_when_bought_during_game,plays_when_bought_overall,plays_when_drawn_for_free,relative_win_rate_when_seen,relative_win_rate_when_drawn,relative_win_rate_when_bought_during_game,relative_win_rate_when_played,relative_elo_gain_when_seen,relative_elo_gain_when_drawn,relative_elo_gain_when_bought_during_game,relative_elo_gain_when_played,bayesian_win_rate_when_bought_during_game,bayesian_elo_gain_when_bought_during_game,original_win_rate_when_bought_during_game,original_elo_gain_when_bought_during_game,game_count_when_bought_during_game,bayesian_win_rate_when_played,bayesian_elo_gain_when_played,original_win_rate_when_played,original_elo_gain_when_played,game_count_when_played
Black Polar Dust,16707,7034,5787,6825,2468,1489,80.7791,1.4869,80.8645,1.5128,81.2399,1.5401,76.9873,0.7148,79.3287,1.0831,5682,5519,2005,685,1178,586.8834,586.3514,585.6641,587.4578,587.2136,0.8678,0.8823,0.3057,0.2182,0.6033,781,1124,365,-1.31,6.2,-96.38,-36.33,-2.37,0.36,-100.43,-51.43,76.9873,0.7148,76.1111,0.5322,900,79.3287,1.0831,79.1135,1.0222,1488
Breathing Filters,16707,6342,5212,6140,2835,1639,81.4412,1.5937,81.4332,1.6042,82.1164,1.8995,80.6554,1.9192,79.2746,1.5951,5165,5000,2328,1273,1296,582.4278,581.6704,582.619,580.9658,579.2129,0.6124,0.6117,0.531,0.2669,0.5781,967,1013,626,10.06,23.73,-6.19,-37.15,6.77,36.3,43.12,6.57,80.6554,1.9192,80.6206,1.9677,1579,79.2746,1.5951,79.0726,1.6022,1639
Bribed Committee,16707,7088,5828,6861,3154,2617,81.5181,1.6013,81.4313,1.5861,83.4496,1.8041,82.2276,1.6266,83.4526,1.8084,5778,5587,2632,1088,2189,586.8435,586.3462,583.6224,577.1402,582.1143,0.9402,0.9579,0.6088,0.3814,0.8297,1241,1912,705,10.02,50.39,29.88,54.31,4.96,26.76,10.37,29.27,82.2276,1.6266,82.4242,1.6402,1320,83.4526,1.8084,83.6454,1.8292,2616
Building Industries,16707,6907,5655,6692,3628,3026,80.7152,1.4552,80.798,1.4752,80.9261,1.5229,78.6672,1.1771,81.1178,1.6148,5575,5407,2936,1310,2455,585.3006,584.1582,583.761,583.2274,584.0086,0.9473,0.9576,0.6113,0.4522,0.8341,1583,2235,791,-2.64,-0.08,-50.68,4.0,-6.13,-1.36,-40.24,8.35,78.6672,1.1771,78.3962,1.1341,1670,81.1178,1.6148,81.1302,1.62,3026
Bushes,16707,7124,5843,7050,5608,5068,81.8501,1.6618,81.8298,1.6495,82.0792,1.6291,81.9675,1.6182,81.8121,1.5316,5831,5769,4603,2807,4148,587.1567,587.0848,586.602,584.3007,586.1085,0.915,0.9218,0.8512,0.7189,0.9037,3131,3844,1224,17.99,22.98,21.96,18.34,11.3,9.26,8.65,-0.51,81.9675,1.6182,82.0281,1.623,3421,81.8121,1.5316,81.8469,1.5314,5067
Business Contacts,16707,6917,5643,6710,5344,5146,82.1454,1.6501,82.3249,1.6945,83.5329,1.8037,83.0128,1.5981,83.2559,1.7794,5682,5524,4464,2810,4289,585.7865,584.9517,587.2769,587.2858,586.8039,0.9672,0.9701,0.9387,0.7669,0.9629,3269,3997,1149,27.9,52.06,44.12,48.32,15.8,26.72,6.53,25.23,83.0128,1.5981,83.1361,1.6018,3379,83.2559,1.7794,83.3463,1.7888,5145
Business Network,16707,6784,5550,6575,4543,4178,81.4269,1.5284,81.5817,1.5752,82.3905,1.759,82.0445,1.5802,82.0206,1.6769,5524,5364,3743,2128,3429,585.9608,584.8636,585.2448,586.2246,587.2417,0.961,0.965,0.8014,0.6354,0.9197,2490,3169,1009,13.03,29.21,24.01,22.85,3.87,22.25,4.71,14.71,82.0445,1.5802,82.1305,1.5836,2590,82.0206,1.6769,82.0728,1.6836,4177
Callisto Penal Mines,16707,6213,5088,6046,2584,1683,80.6213,1.6377,80.698,1.6598,80.2632,1.7113,78.5893,1.676,79.2811,1.6645,5009,4879,2074,815,1331,580.5168,579.7397,567.3119,547.651,556.5288,0.8571,0.8656,0.4337,0.2784,0.6513,894,1127,556,-4.64,-13.34,-55.8,-36.9,12.33,17.48,16.63,14.32,78.5893,1.676,78.14,1.7028,1042,79.2811,1.6645,79.085,1.6797,1682
Capital,16707,6133,5055,5920,2905,2143,80.8414,1.483,80.7601,1.485,82.0998,1.6671,80.5409,1.5586,81.5561,1.6425,4958,4781,2385,1217,1749,584.7804,583.4916,581.3026,581.8347,580.5189,0.83,0.826,0.617,0.362,0.7377,1255,1386,757,-3.4,23.39,-8.81,13.69,-5.15,13.06,2.5,11.59,80.5409,1.5586,80.4894,1.5615,1512,81.5561,1.6425,81.6146,1.6524,2142
Carbonate Processing,16707,6872,5633,6691,2700,1785,80.9371,1.4745,80.9894,1.496,80.8148,1.4541,78.6974,1.2627,79.8922,1.3105,5562,5419,2182,777,1424,585.3427,584.899,589.0248,586.1239,593.7485,0.852,0.879,0.3972,0.2668,0.6611,846,1300,485,1.19,-2.31,-53.65,-23.08,-4.05,-8.24,-32.9,-25.13,78.6974,1.2627,78.2477,1.2075,993,79.8922,1.3105,79.7759,1.2852,1785
